18,-8.93975826e-03,-2.68928468e-04,-7.78726282e-04,2.48897652e-03,-8.59478696e-04,-8.63748131e-03
15,-1.22084079e-02,2.30154778e-03,-1.67862134e-03,1.46278875e-03,-4.80282902e-04,-8.61636735e-03
16,-7.28540414e-03,-6.10441801e-04,-1.24758574e-03,2.00242476e-03,-3.25701666e-04,-5.22696130e-03
13,-6.91074111e-03,-1.43535896e-03,-1.80063030e-03,2.25344460e-03,4.55434656e-05,-8.13498206e-03
14,-7.30840487e-03,-2.80937476e-04,-8.89662606e-04,2.66742825e-03,-1.84090577e-04,-6.70479009e-03
11,-8.85335913e-03,-3.95849263e-03,-8.69616735e-04,3.91226232e-03,1.23774441e-03,-1.22460034e-02
12,-1.30943416e-02,1.13311369e-03,-3.19600912e-03,3.82457326e-04,-2.22760388e-03,-1.13111651e-02
21,-5.83648637e-03,-1.83568628e-03,-1.89074803e-03,1.94836180e-03,1.57023236e-04,-8.24394636e-03
allegations,-6.84610078e-04,2.15586694e-04,-3.48889249e-04,1.10981537e-03,-1.67967067e-04,5.38894047e-04
20,-1.66672145e-02,4.36431538e-03,-9.58594688e-04,1.61772199e-03,-8.05769870e-04,-7.52640475e-03
08,-8.37565153e-04,-1.24608960e-03,-3.03286501e-05,9.98593060e-04,1.05971894e-03,-1.99325570e-03
04,-7.92500656e-04,-1.07931473e-03,3.78655705e-04,7.05282769e-04,7.38458020e-04,-1.79125585e-03
05,-7.30032546e-04,-6.86150273e-04,2.58058343e-07,4.77558614e-04,1.19433659e-03,-1.60344815e-03
06,-1.08513056e-03,-1.57277032e-03,3.93234784e-05,1.30835126e-03,1.22175600e-03,-2.62959859e-03
10,-2.36214762e-02,9.32228098e-03,-9.93706736e-04,-2.09511695e-03,-6.92653289e-04,-1.75880437e-02
relating,-1.96573649e-03,-1.11745974e-04,9.21379890e-04,1.04856603e-03,5.22334453e-04,-7.29354640e-04
79,-1.25774970e-03,-6.78395018e-04,-7.93450399e-04,7.22910100e-04,8.28009950e-04,-2.83228386e-03
78,-1.19381490e-03,-6.43345309e-04,-2.70173232e-05,7.09226848e-04,3.05056049e-04,-1.69622622e-03
77,-1.08870740e-03,-4.58127338e-04,-8.18321816e-05,6.62043990e-04,1.96660670e-04,-1.29489476e-03
82,-1.06149222e-03,-5.61976534e-04,-6.39365384e-05,1.50042919e-05,6.54765136e-04,-2.44891474e-03
83,-1.11875249e-03,-4.24864322e-04,-1.49695135e-04,5.92555118e-04,3.29959106e-04,-2.44846424e-03
80,-6.17004190e-03,3.33401765e-03,3.06698265e-04,-3.64163320e-04,-3.10544042e-04,-1.84896792e-03
81,-1.26252035e-03,-1.04352857e-03,-9.84487480e-05,7.93284673e-04,6.23466829e-04,-2.86134885e-03
86,-1.20826362e-03,-8.91348738e-04,-3.45655714e-04,4.73831635e-04,6.22850917e-04,-1.69464942e-03
87,-1.13008746e-03,-8.26575252e-04,1.63933996e-04,4.55817408e-04,5.89281347e-04,-2.29178168e-03
84,-1.21745518e-03,-6.02040484e-04,1.19050163e-04,6.93534443e-04,1.41108471e-04,-1.96034596e-03
85,-2.26909205e-03,5.83263334e-04,-3.26833945e-04,2.15029795e-04,5.17062448e-04,-2.77483614e-03
67,-1.08742650e-03,-8.50560194e-05,-4.56898096e-04,4.96824748e-04,1.06756565e-04,-1.96884791e-03
66,-1.44910514e-03,-3.01941378e-04,-5.09087160e-05,2.66464765e-04,4.28926130e-04,-2.40510688e-03
69,-1.31954616e-03,-3.95987051e-04,-2.35027631e-04,6.37100404e-04,3.79674513e-04,-2.30086570e-03
68,-1.25546511e-03,-6.51606059e-04,-1.44540065e-04,8.29104538e-04,3.08573944e-04,-2.22379466e-03
relation,-2.65199507e-03,9.39864941e-04,8.47104504e-04,1.03398584e-03,9.15181314e-04,-9.23795545e-04
properly,-2.46775132e-03,2.57321804e-03,2.85554650e-04,-1.29030260e-03,-1.17860251e-03,-1.38956726e-03
generated,-2.29421957e-03,1.34640663e-03,-7.12050981e-04,1.26321957e-03,1.81223763e-04,-1.14422458e-03
70,-5.42792442e-03,2.48216860e-03,6.98970068e-04,-4.37789406e-04,2.32798985e-04,-1.49238801e-03
71,-1.16318847e-03,-4.17663558e-04,-2.53914744e-04,-2.64755752e-05,6.78577272e-04,-2.65280441e-03
72,-1.75396358e-03,-4.78010512e-04,-2.33861662e-04,6.40014825e-04,-3.34547830e-04,-2.53046711e-03
73,-1.17692039e-03,-3.34113956e-04,-4.38454224e-05,-1.27312204e-04,-4.17034545e-04,-1.68328223e-03
74,-1.05959488e-03,-4.84727559e-04,-2.01874029e-04,3.62109371e-04,3.29414326e-05,-1.86952750e-03
75,-3.73420658e-03,6.85275633e-04,-2.63388737e-04,-3.29801901e-04,5.52316982e-04,-3.25253797e-03
76,-1.18655311e-03,-4.48003606e-04,-1.55414687e-04,1.90298473e-04,2.46750813e-04,-2.20587559e-03
59,-1.52332581e-03,-9.39179912e-04,-9.17872802e-05,3.34898377e-04,1.37510409e-03,-3.88235653e-03
58,-1.17528570e-03,-1.75319714e-04,-2.34463473e-04,3.71495687e-05,1.52303913e-04,-2.12857520e-03
57,-1.51786156e-03,-4.01376533e-04,8.14963179e-05,-9.92393068e-05,2.41033610e-04,-2.44545779e-03
56,-1.42257321e-03,1.42071573e-04,3.91015953e-05,3.48933363e-04,-9.08706505e-05,-2.50114468e-03
55,-2.12483624e-03,5.88331300e-05,-3.64691070e-05,6.46933152e-05,3.20359097e-04,-2.72187963e-03
64,-1.61775419e-03,-4.87933407e-05,1.34832202e-04,1.51125848e-05,1.88994147e-04,-2.59001328e-03
65,-3.54255181e-03,1.57160878e-03,5.54087866e-04,7.80701528e-04,-5.78852694e-05,-1.36772231e-03
62,-1.36622162e-03,-3.60949633e-04,1.79244620e-04,1.94001155e-04,-2.88898178e-04,-1.90103510e-03
63,-1.33362880e-03,-4.85702217e-04,-2.90060619e-04,5.28774379e-04,1.10723789e-03,-2.40846662e-03
60,-7.40707576e-03,4.34760445e-03,-1.25700196e-04,-6.51229128e-04,-7.58066579e-04,-2.52834947e-03
61,-1.17669110e-03,-4.06535176e-04,-8.35036267e-05,1.77878413e-04,6.07095889e-04,-2.00787832e-03
49,-1.44592918e-03,-4.87754275e-04,1.18462808e-04,5.73096762e-04,1.94272805e-04,-2.11404430e-03
48,-2.65893606e-03,7.12419428e-04,-1.21727182e-04,-7.17813987e-04,2.33240462e-04,-4.22314451e-03
crucial,-1.67880879e-03,6.66386814e-04,5.93737838e-04,4.97998792e-04,7.10787282e-04,-5.35573256e-04
